,id,name,current_price,market_cap,current_price_GBP,current_price_EUR,market_cap_GBP,market_cap_EUR
0,bitcoin,Bitcoin,102091.0,2022140815073,81672.8,96986.45,1617712652058.4,1921033774319.35
1,ethereum,Ethereum,3099.82,373374683782,2479.86,2944.83,298699747025.6,354705949592.9
2,ripple,XRP,3.06,176446350804,2.45,2.91,141157080643.2,167624033263.8
3,tether,Tether,0.999625,139416523097,0.8,0.95,111533218477.6,132445696942.15
4,solana,Solana,227.77,110831011751,182.22,216.38,88664809400.8,105289461163.45
5,binancecoin,BNB,664.55,96875334894,531.64,631.32,77500267915.2,92031568149.3
6,usd-coin,USDC,0.999962,52542059276,0.8,0.95,42033647420.8,49914956312.2
7,dogecoin,Dogecoin,0.324365,47917955298,0.26,0.31,38334364238.4,45522057533.1
8,cardano,Cardano,0.917137,32886869216,0.73,0.87,26309495372.8,31242525755.2
9,staked-ether,Lido Staked Ether,3093.39,29335920164,2474.71,2938.72,23468736131.2,27869124155.8
10,tron,TRON,0.23823,20501565764,0.19,0.23,16401252611.2,19476487475.8
11,chainlink,Chainlink,22.62,14427779007,18.1,21.49,11542223205.6,13706390056.65
12,avalanche-2,Avalanche,32.43,13340630917,25.94,30.81,10672504733.6,12673599371.15
13,wrapped-bitcoin,Wrapped Bitcoin,101584.0,13106910451,81267.2,96504.8,10485528360.8,12451564928.45
14,wrapped-steth,Wrapped stETH,3687.56,12691531382,2950.05,3503.18,10153225105.6,12056954812.9
15,the-open-network,Toncoin,4.81,11966310252,3.85,4.57,9573048201.6,11367994739.4
16,stellar,Stellar,0.390268,11913431208,0.31,0.37,9530744966.4,11317759647.6
17,hedera-hashgraph,Hedera,0.301696,11531320955,0.24,0.29,9225056764.0,10954754907.25
18,sui,Sui,3.63,10914306873,2.9,3.45,8731445498.4,10368591529.35
19,shiba-inu,Shiba Inu,1.81e-05,10663079827,0.0,0.0,8530463861.6,10129925835.65
20,weth,WETH,3096.2,9254310647,2476.96,2941.39,7403448517.6,8791595114.65
21,leo-token,LEO Token,9.75,9003473682,7.8,9.26,7202778945.6,8553299997.9
22,polkadot,Polkadot,5.63,8568148798,4.5,5.35,6854519038.4,8139741358.1
23,litecoin,Litecoin,111.5,8413274022,89.2,105.92,6730619217.6,7992610320.9
24,bitcoin-cash,Bitcoin Cash,409.78,8114394221,327.82,389.29,6491515376.8,7708674509.95
25,bitget-token,Bitget Token,6.75,8108343200,5.4,6.41,6486674560.0,7702926040.0
26,hyperliquid,Hyperliquid,22.65,7554588536,18.12,21.52,6043670828.8,7176859109.2
27,uniswap,Uniswap,11.7,7023125451,9.36,11.11,5618500360.8,6671969178.45
28,usds,USDS,1.003,6811361667,0.8,0.95,5449089333.6,6470793583.65
29,wrapped-eeth,Wrapped eETH,3278.52,6298680381,2622.82,3114.59,5038944304.8,5983746361.95
30,ethena-usde,Ethena USDe,1.001,5840230909,0.8,0.95,4672184727.2,5548219363.55
31,official-trump,Official Trump,27.3,5448594146,21.84,25.94,4358875316.8,5176164438.7
32,pepe,Pepe,1.23e-05,5175437138,0.0,0.0,4140349710.4,4916665281.1
33,near,NEAR Protocol,4.4,5172343112,3.52,4.18,4137874489.6,4913725956.4
34,mantra-dao,MANTRA,4.59,4420314887,3.67,4.36,3536251909.6,4199299142.65
35,ondo-finance,Ondo,1.38,4365259612,1.1,1.31,3492207689.6,4146996631.4
36,aave,Aave,289.02,4348898164,231.22,274.57,3479118531.2,4131453255.8
37,aptos,Aptos,7.28,4169999301,5.82,6.92,3335999440.8,3961499335.95
38,whitebit,WhiteBIT Coin,28.4,4090118375,22.72,26.98,3272094700.0,3885612456.25
39,internet-computer,Internet Computer,8.48,4071233028,6.78,8.06,3256986422.4,3867671376.6
40,monero,Monero,220.47,4065861895,176.38,209.45,3252689516.0,3862568800.25
41,bittensor,Bittensor,465.73,3825715112,372.58,442.44,3060572089.6,3634429356.4
42,ethereum-classic,Ethereum Classic,25.23,3795697379,20.18,23.97,3036557903.2,3605912510.05
43,mantle,Mantle,1.067,3585845366,0.85,1.01,2868676292.8,3406553097.7
44,dai,Dai,0.999545,3529816733,0.8,0.95,2823853386.4,3353325896.35
45,crypto-com-chain,Cronos,0.127152,3461843522,0.1,0.12,2769474817.6,3288751345.9
46,vechain,VeChain,0.04231159,3425151483,0.03,0.04,2740121186.4,3253893908.85
47,polygon-ecosystem-token,POL (ex-MATIC),0.392779,3359983179,0.31,0.37,2687986543.2,3191984020.05
48,okb,OKB,54.17,3245821160,43.34,51.46,2596656928.0,3083530102.0
49,kaspa,Kaspa,0.121618,3114356894,0.1,0.12,2491485515.2,2958639049.3
50,algorand,Algorand,0.36085,3027332227,0.29,0.34,2421865781.6,2875965615.65
51,gatechain-token,Gate,23.96,3009261082,19.17,22.76,2407408865.6,2858798027.9
52,render-token,Render,5.54,2866667579,4.43,5.26,2293334063.2,2723334200.05
